year,area_name_en,room_id,median_annual_rent,min_annual_rent,max_annual_rent,median_transaction_amount,rental_yield_percentage,rooms_en
2026.0,Zaabeel Second,2.0,180000.0,157500,200000,3400000.0,5.0,2 BHK
2026.0,Zaabeel Second,3.0,285000.0,270000,348712,3300000.0,9.0,3 BHK
2025.0,Al Barsha First,0.0,43000.0,24000,4786300,700000.0,6.0,Studio
2025.0,Al Barsha First,1.0,62000.0,1,4786300,1000000.0,6.0,1 BHK
2025.0,Al Barsha First,2.0,85000.0,1,5159000,2566610.0,3.0,2 BHK
2025.0,Al Barsha First,3.0,120250.0,73000,4786300,3256540.0,4.0,3 BHK
2025.0,Al Barsha South Fifth,0.0,47000.0,20500,181000,719684.0,7.0,Studio
2025.0,Al Barsha South Fifth,1.0,70000.0,12000,200000,1141519.0,6.0,1 BHK
2025.0,Al Barsha South Fifth,2.0,117500.0,1,600000,1568233.0,7.0,2 BHK
2025.0,Al Barsha South Fifth,3.0,195000.0,110000,350000,2376750.0,8.0,3 BHK
2025.0,Al Barsha South Fifth,4.0,225000.0,164010,290000,3638021.0,6.0,4 BHK
2025.0,Al Barsha South Fourth,0.0,48510.0,1200,9000000,696148.0,7.0,Studio
2025.0,Al Barsha South Fourth,1.0,70000.0,4154,9000000,1064999.0,7.0,1 BHK
2025.0,Al Barsha South Fourth,2.0,95000.0,0,9000000,1546985.0,6.0,2 BHK
2025.0,Al Barsha South Fourth,3.0,150000.0,997,9000000,2160000.0,7.0,3 BHK
2025.0,Al Barsha South Fourth,4.0,185000.0,65000,400000,2500000.0,7.0,4 BHK
2025.0,Al Barshaa South Second,0.0,47000.0,29700,78000,858163.0,5.0,Studio
2025.0,Al Barshaa South Second,1.0,69000.0,39000,160000,1313000.0,5.0,1 BHK
2025.0,Al Barshaa South Second,2.0,112000.0,50000,325000,2050000.0,5.0,2 BHK
2025.0,Al Barshaa South Second,3.0,240000.0,92400,350000,3285894.0,7.0,3 BHK
2025.0,Al Barshaa South Second,4.0,310000.0,60000,950000,7849317.0,4.0,4 BHK
2025.0,Al Barshaa South Third,0.0,45000.0,8623,3013368,640000.0,7.0,Studio
2025.0,Al Barshaa South Third,1.0,63000.0,3500,3013368,1049580.0,6.0,1 BHK
2025.0,Al Barshaa South Third,2.0,87000.0,604,3013368,1500000.0,6.0,2 BHK
2025.0,Al Barshaa South Third,3.0,150000.0,75000,655000,2001000.0,7.0,3 BHK
2025.0,Al Goze Fourth,0.0,41800.0,12000,1923000,540000.0,8.0,Studio
2025.0,Al Goze Fourth,1.0,63000.0,24700,3220800,800000.0,8.0,1 BHK
2025.0,Al Goze Fourth,2.0,56228.0,5000,3220800,1157900.0,5.0,2 BHK
2025.0,Al Goze Fourth,3.0,70621.5,50000,180000,1275000.0,6.0,3 BHK
2025.0,Al Hebiah Fifth,0.0,45000.0,26250,2354090,442500.0,10.0,Studio
2025.0,Al Hebiah Fifth,1.0,55000.0,33444,2571536,1241000.0,4.0,1 BHK
2025.0,Al Hebiah Fifth,2.0,75000.0,6468,2571536,1014800.0,7.0,2 BHK
2025.0,Al Hebiah Fifth,3.0,98550.0,66560,198000,1460000.0,7.0,3 BHK
2025.0,Al Hebiah First,0.0,44468.0,28000,641300,664988.0,7.0,Studio
2025.0,Al Hebiah First,1.0,66000.0,6000,641300,1145577.0,6.0,1 BHK
2025.0,Al Hebiah First,2.0,103750.0,9995,210000,1850388.5,6.0,2 BHK
2025.0,Al Hebiah First,3.0,160000.0,12000,370000,2200000.0,7.0,3 BHK
2025.0,Al Hebiah First,4.0,265000.0,40000,558000,6741777.0,4.0,4 BHK
